text,IsToxic,IsAbusive,IsProvocative,IsObscene,IsHatespeech,IsRacist,IsThreat,IsReligiousHate,IsNationalist,IsSexist
wonder police expect happen continually abuse kill people honestly expect public nothing lay back take let cop turn one massive street gang allowed kill without consequence even rat cornered defend,True,True,True,False,False,False,False,False,False,False
bassem think walmart hiring holiday get job loser,True,True,False,False,False,False,False,False,False,False
anybody got cigar,False,False,False,False,False,False,False,False,False,False
monkey screamin bout honky intensifies,True,False,False,False,True,True,False,False,False,False
see brick hit white pig helmet lmao nice shot hit face,True,False,False,False,True,True,False,False,False,False
dont reckon black life matter banner held white cunt kinda patronizing ironically racist could not come somethin better white folk give self pride ooo look im nice black people always race actually whole world pussyfootin around fear racist fuckin daft man,True,True,False,True,False,False,False,False,False,False
thank stefan humorous tragic enlightening california,False,False,False,False,False,False,False,False,False,False
send france,False,False,False,False,False,False,False,False,False,False
tell even taboo talk something news medium not touch ten foot poleblack white crime black sexually assaulted white woman fewer black woman sexually assaulted white men yes used boj not make stats available online anymore stating statistic may inflammatory certain ethnic group tip iceberg,False,False,False,False,False,False,False,False,False,False
need arrest protester soon start blocking traffic driver saw starting block road would not stop em,True,True,True,False,False,False,True,False,False,False
im sick seeing racist comment shame still rascim grow fuck people,True,True,False,True,False,False,False,False,False,False
stefan molyneux hate black much actually not surprised bloody british people conquered u absolutely nothing freedom gain decade go hate u not pale one would wonder mother black woman,True,False,False,False,True,True,False,False,True,False
pant not loot,False,False,False,False,False,False,False,False,False,False
thank real heard little girl thought thing rage medium ever behind want promote racial tension nobody black community want talk elephant room almost like everything medium music scene promotes thug life,False,False,False,False,False,False,False,False,False,False
dear grindahz aka pot called kettle black spelling list week whether weather way weigh ferguson stupid hypocrite stay tuned grammar lesson punctuation lesson,False,False,False,False,False,False,False,False,False,False
people stupid fuck wouldt work idea fun loser nothing better oh yeah great work burning auto place no people unemployed cannot provide family great work police shot criminal happened black people definition sheep not one individual thinker among,True,True,False,False,False,False,False,False,False,False
thank yet another sobering analysis stefan amount bias deception left mainstream medium insane,False,False,False,False,False,False,False,False,False,False
cannot believe reciting music listened cop using excessive force cop become judge jury executioner society screwed issue cop not get trained escalation force not use non lethal mean apprehend civilian suspect,False,False,False,False,False,False,False,False,False,False
