text,is_toxic
wonder police expect happen continually abuse kill people honestly expect public nothing lay back take let cop turn one massive street gang allowed kill without consequence even rat cornered defend,1
bassem think walmart hiring holiday get job loser,1
anybody got cigar,0
monkey screamin bout honky intensifies,1
see brick hit white pig helmet lmao nice shot hit face,1
dont reckon black life matter banner held white cunt kinda patronizing ironically racist could not come somethin better white folk give self pride ooo look im nice black people always race actually whole world pussyfootin around fear racist fuckin daft man,1
thank stefan humorous tragic enlightening california,0
send france,0
tell even taboo talk something news medium not touch ten foot poleblack white crime black sexually assaulted white woman fewer black woman sexually assaulted white men yes used boj not make stats available online anymore stating statistic may inflammatory certain ethnic group tip iceberg,0
need arrest protester soon start blocking traffic driver saw starting block road would not stop em,1
im sick seeing racist comment shame still rascim grow fuck people,1
stefan molyneux hate black much actually not surprised bloody british people conquered u absolutely nothing freedom gain decade go hate u not pale one would wonder mother black woman,1
pant not loot,0
thank real heard little girl thought thing rage medium ever behind want promote racial tension nobody black community want talk elephant room almost like everything medium music scene promotes thug life,0
dear grindahz aka pot called kettle black spelling list week whether weather way weigh ferguson stupid hypocrite stay tuned grammar lesson punctuation lesson,0
people stupid fuck wouldt work idea fun loser nothing better oh yeah great work burning auto place no people unemployed cannot provide family great work police shot criminal happened black people definition sheep not one individual thinker among,1
thank yet another sobering analysis stefan amount bias deception left mainstream medium insane,0
cannot believe reciting music listened cop using excessive force cop become judge jury executioner society screwed issue cop not get trained escalation force not use non lethal mean apprehend civilian suspect,0
pretty woman dang,0
like black racist white ppl without consequence keep nice new world live keep,1
find amusing protester claim fighting racism yet blind racism several report black people attacking white people couple day ago reported white man beaten death hammer black teen st louis yeah clearly no racial intent fucking hypocrite,1
michael brown thug god bless thin blue line graduate police academy december,1
see impose gunlaws fact even machine gun people could not anything police car body protection like tank wanted say,0
majority people ferguson african american elected official not african american mayor city council police chief elected official people community not stepping fill role,0
yet another reason police need wear av recording device time people well really help ensure truth maintained time imagine officer pov camera would show situation,0
police not militarized,0
white folk always asked would cop something could ruin career answer know get away know chief fellow cop cover know white folk asshole like make excuse slim none chance trial kind always acquit,0
amen amen sister go strong black woman got back,0
shooting not one thing black black people make black issue bottom line grown man robbed store ignored police order people think ok protest behalf thug no respect law yes shame came death hadnt thief would still alive hear bullshit black gotta gotta hard street streetsblah blah blah wear hard living like badge honor no honor country hey let go steal cigarillo make blunts worsen already ghetto,1
white man cannot finish sentence america need wake upthe truth murder,1
someone shoot black idiot would make giggle inside,1
would stop cost came black community created no responsibility no worry,0
say black piece came bit stiff due repeated use african american,0
get job,1
made song addressing ferguson issue today please listen thank tha bigger picture soundcloud listen tha bigger picture kool np soundcloud,0
bassem right express himselfwe freedom expressionwe rightits amendment constitutioni dont think cnn competent,0
da fuck gay as bald white frenchy nigga gonna set hisself dang judge whole criminal conspiracy micheal brown mothafuckin hand air son u smart u know nigga hand mothafuckin air sign showin innocent tha crime sorry cussin shit internationally recognized indication innocence part perpetrator yall nigga medium plain old fashioned example murder first degree part mr officer darren wilson takin life nigga college student nigga kent state protestin get ass shot historic event michael brown shot dead street takin part ferguson protest yall medium mothafuckas try explain away,1
black young woman like stefan think need people like country,0
watching video clear stefan seems buy argument favor white police officer not dead black kid watched video posted see patter bias exist sure enough repeated patter argument tryvon martin soyou convince like minded not different alex jones many white conservative pretend system affect white people minority black fair game stefan keep preaching one sided view gain many white admirer share view,0
bassem masri well said bro,0
peggy know many fine black woman men like sick tired violence blame thanks speaking,0
sure michael brown knew killer young girl considered homeboy,0
case presented grand jury not return indictment apparently militarized police state gunning unarmed teen time unevolved racist used hide behind white hood hide behind computer screen police badge,1
jerk made b story skittle arizona ice tea component lean actual promethazine pharmaceutical drug easy get street level guy quake antebellum period dreamer negro live beneath need realize really not much better statistic would say white well fair white committ violent crime anyone pls come white savior b,0
no idea cop mooed always thought oinked learn something new every day,1
never argue idiot,1
peace need found side stubborn relentless peaceful not go work sit step power day chant concern “fear path dark side fear lead anger anger lead hate hate lead suffering” yoda,0
ignorance law no excuse usc deprivation right color law,0
gentle giant seems robbed store later assaulted armed police officer much school boy look hoping thug life come high price,1
need search youtube actual cnn doctored audio michaelbrown shooting cnn caught changing evidence﻿,0
dis furgusun de unitid stateth murka retard start violent protest try pawn police state lie cop arrive,1
lot driver banded together collectively beat living shit every one little prick,1
wish joe would gone fear factor eat fresh steaming pile shit mouth would full not hear worthless cunt speak,1
glad protestors affect many people give public reason hate,1
really hard open fire,1
without badge bitch half fuck police,1
fuck need military police civilian like wanna bring new gear dress like soldier strut around trying look tough,0
dude fuck punk police,1
omg stefan rap hysterical anyway good news guess know whatshisname douche deserved die premptive strike made officer darren wilson huzzah another trash taken street probably cure disease rather treat symptom though disease ignorance selfentitlement community lower class getting poverty isnt easy starting point isnt easy still feasible right amount drive,1
video would interesting stefan taking clothes sexy case really not hard understand would cop good record year service shoot teenager hand witness friend lied started protest snowball effect ensued watch video store show brown aggressive hard believe evidence made huge error judgement fighting police officer no not,0
idiotz,1
dealt force,0
mr stefan molyneux mr wilson drive multifple story therefore deserve fair trial wilson law enforcer firm happened would good wilson speaks would truly respect officer would talk public seems hiding,0
omgyou not give whole story gave one side half,0
really say trevon martin brought watermelon skittle make lean lol yo white ppl say aaannnyything make blk ppl look certain way trutheven trevon said no limit nigga fuck whatkids say dumb thing time said batman lol sicken make kind excusewhy dont u talk second video tbat came year mike brown situation cop said didnt think important showed mike made trade store owner no robbery lol u talk corruption police medium withholding information,1
love lady need strong woman like peggy hubbard,0
never racist almost make one ofc dont mean get idea,0
day conservative support confederate flagdenies racismand criticize black people deemed hero white people lmao please get white woman black face screen,1
video actually happen simply trying smear young man’s image wanted rapper stole cigar nothing side video deserves death sentence also released new video officer wilson showing no injury show officer wilson not truthful incident perhaps need wait detail post bias video you’re going post video make sure accurate not mention friend criminal stated brown giving black white witness nothing incident stated hand surrendering wilson shot,0
question park cruiser front protester 🤔🤔,0
hoax,0
need people like peggy hubbard support mother year common sense,0
brown stepfather pant half way,1
something wrong audio,0
hear guy saying policeman stated year service officer died weapon one shoot execution style whatever fuck officer wilson let pound guy run fthe big run fast assume not take ft tell brown freeze shoot b way tell,1
relevance marijuana autopsy show entry wound spread body close range spread would tight hitting region likely chest area long range spread would dispersed see report wound underside arm exposed arm raised gesture peace ie hand empty away body pose plus no powder burn body far away,0
not think somebody deserves die stole cigar fine criminal put legal process humane kill american treat felon criminal like dog moment commit minor crime like stealing cigarette smoking weed no longer human not right one rap made bad quality tone not think matter lot people produce rap music considering biggest rapper always talk smoking weed bitch killing people no surprise brown probably inspired crime brown stealing cigar tell white person went convenience store stole alcohol got shot not even hour later police would justify police shooting,0
stop criminal wont get shot simple,1
yea fuck store clerk dare try job,1
