,CommentId,VideoId,Text,IsToxic,IsAbusive,IsThreat,IsProvocative,IsObscene,IsHatespeech,IsRacist,IsNationalist,IsSexist,IsHomophobic,IsReligiousHate,IsRadicalism
0,Ugg2KwwX0V8-aXgCoAEC,04kJtp6pVXI,"If only people would just take a step back and not make this case about them, because it wasn't about anyone except the two people in that situation.  To lump yourself into this mess and take matters into your own hands makes these kinds of protests selfish and without rational thought and investigation.  The guy in this video is heavily emotional and hyped up and wants to be heard, and when he gets heard he just presses more and more.  He was never out to have a reasonable discussion.  Kudos to the Smerconish for keeping level the whole time and letting Masri make himself out to be a fool.  How dare he and those that tore that city down in protest make this about themselves and to dishonor the entire incident with their own hate.  By the way, since when did police brutality become an epidemic?  I wish everyone would just stop pretending like they were there and they knew EXACTLY what was going on, because there's no measurable amount of people that honestly witnessed this incident, so none of us have a clue on which way this whole issue should have swung.  The grand jury were the most informed, we have to trust the majority rule was the right course of action and let it be.  Also, thank you to the 99.999% of police officers in America that actually serve & protect, even if you're a bit of a jerk when you pull me over, I respect your job and know that someone has to do it and that many people are going to pout about being held accountable to their actions.  People hate police until they need an officer or two around in an emergency.",False,False,False,False,False,False,False,False,False,False,False,False
1,Ugg2s5AzSPioEXgCoAEC,04kJtp6pVXI,Law enforcement is not trained to shoot to apprehend.  They are trained to shoot to kill.  And I thank Wilson for killing that punk bitch.,True,True,False,False,False,False,False,False,False,False,False,False
1,Ugg2s5AzSPioEXgCoAEC,04kJtp6pVXI,Law enforcement embody not train to shoot to apprehend. They be prepare to fritter away to vote down. And I give thanks Wilson for killing that strong armer bitch.,True,True,False,False,False,False,False,False,False,False,False,False
1,Ugg2s5AzSPioEXgCoAEC,04kJtp6pVXI,Law enforcement make up not trained to shoot to pick up. They be trained to shoot to kill. And Unity thank Wilson for drink down that punk bitch.,True,True,False,False,False,False,False,False,False,False,False,False
1,Ugg2s5AzSPioEXgCoAEC,04kJtp6pVXI,Legal philosophy enforcement is not trained to burgeon forth to apprehend. They are trained to shoot to kill. And I thank Wilson for killing that hood squawk.,True,True,False,False,False,False,False,False,False,False,False,False
1,Ugg2s5AzSPioEXgCoAEC,04kJtp6pVXI,Law enforcement is not condition to shoot to apprehend. They equal trained to bourgeon to wipe out. And 1 thank Wilson for killing that strong armer bitch.,True,True,False,False,False,False,False,False,False,False,False,False
1,Ugg2s5AzSPioEXgCoAEC,04kJtp6pVXI,Law enforcement be non trained to shoot to cop. They represent take aim to shoot to vote out. And I give thanks Wilson for kill that punk bitch.,True,True,False,False,False,False,False,False,False,False,False,False
1,Ugg2s5AzSPioEXgCoAEC,04kJtp6pVXI,Practice of law enforcement is non trained to photograph to apprehend. They are trained to shoot to kill. And I give thanks Sir angus wilson for killing that punk gripe.,True,True,False,False,False,False,False,False,False,False,False,False
2,Ugg3dWTOxryFfHgCoAEC,04kJtp6pVXI,"
Dont you reckon them 'black lives matter' banners being held by white cunts is  kinda patronizing and ironically racist. could they have not come up with somethin better.. or is it just what white folks do to give them selves pride. 'ooo look at me im being nice for the black people' why does it always have to be about race actually the whole world is pussyfootin around for fear of being racist. its fuckin daft man.",True,True,False,False,True,False,False,False,False,False,False,False
2,Ugg3dWTOxryFfHgCoAEC,04kJtp6pVXI,Dont you reckon them ' black lives matter ' banners being held by white cunts be kinda patronizing and ironically racist. could they let not come upwards with somethin better. . or is it just what white folks do to give them selves pride. ' ooo look at pine tree state im being nice for the black mass ' why does information technology always have to be some race actually the whole world is pussyfootin around for fear of being racist. information technology fuckin daft man.,True,True,False,False,True,False,False,False,False,False,False,False
2,Ugg3dWTOxryFfHgCoAEC,04kJtp6pVXI,Dont you cypher them ' black lives matter ' banners being held by livid cunts is kinda patronizing and ironically racist. could they have not come up with somethin better. . or is information technology just what white folks do to give them selves pride. ' ooo look at me im represent nice for the black people ' why does information technology always make to be about race actually the whole world is pussyfootin around for fear of being racialist. its fuckin daft gentleman.,True,True,False,False,True,False,False,False,False,False,False,False
2,Ugg3dWTOxryFfHgCoAEC,04kJtp6pVXI,Dont you reckon them ' black lives matter ' banner being held by white cunts is kinda patronizing and ironically racist. could they have not come up with somethin better. . or is it just what clean folks do to give them selves pride. ' ooo look at me im being decent for the black people ' wherefore does it always have to be about race actually the whole globe is pussyfootin around for fear of being racist. its fuckin daft world.,True,True,False,False,True,False,False,False,False,False,False,False
2,Ugg3dWTOxryFfHgCoAEC,04kJtp6pVXI,Dont you count them ' black lives matter ' banners being held by white cunt is kinda patronizing and ironically racist. could they have not come up with somethin better. . or is information technology just what white folks do to give them selves pride. ' ooo look at me im being nice for the black people ' why does it always have to be about race actually the whole world is pussyfootin around for awe of being racist. its fuckin daft man.,True,True,False,False,True,False,False,False,False,False,False,False
2,Ugg3dWTOxryFfHgCoAEC,04kJtp6pVXI,Dont you reckon them ' black lives matter ' banners being held by white cunts is kinda patronizing and ironically racist. could they bear not come up with somethin better. . or represent it just what white folks do to give them selves pride. ' ooo look at me im being nice for the disgraceful people ' why does it always have to be around race in reality the whole world is pussyfootin around for fear of being racist. its fuckin daft man.,True,True,False,False,True,False,False,False,False,False,False,False
